Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Spain,40.0,-4.0,38276186.0,47365655.0,4.47,11.3,Csa,0.2992311866387754
Sri Lanka,7.0,81.0,4101702.0,21919000.0,0.39,26.95,Af,0.22450691175212475
Sudan,15.0,30.0,15666605.0,44440486.0,6.16,26.9,BWh,0.23838163475662466
Suriname,4.0,-56.0,401567.0,607065.0,2.11,25.7,Af,0.2056497965373335
Sweden,62.0,15.0,9108648.0,10353442.0,6.55,1.75,Dfc,0.13735517409573228
Switzerland,47.0,8.0,6384901.0,8638167.0,4.03,5.1,Cfb,0.471361817701439
Tajikistan,39.0,71.0,2624955.0,9543207.0,0.78,6.4,Dsb,0.4428932645862987
Thailand,15.0,100.0,36759934.0,71475664.0,1.68,26.3,Aw,0.4133882797258335
Timor-Leste,-8.55,125.5167,407158.0,1299995.0,0.0,25.25,Aw,0.116231515839522
Togo,8.0,1.1667,3613424.0,8442580.0,2.41,27.15,Aw,0.11671174807474508
Trinidad and Tobago,11.0,-61.0,807867.0,1518147.0,1.62,25.75,Am,0.38283264264539557
Tunisia,34.0,9.0,8460667.0,12161723.0,1.39,19.2,BWh,0.47074432092075347
Uganda,1.0,32.0,11080727.0,44404611.0,1.0,22.8,Am,0.47573247164861787
Ukraine,49.0,32.0,30719437.0,44132049.0,2.0,8.3,Dfb,0.11290186443924903
United Arab Emirates,24.0,54.0,8084399.0,9287289.0,0.46,26.65,BWh,0.210498513180237
United Kingdom,54.0,-2.0,56283168.0,67081234.0,3.09,8.45,Cfb,0.24482491300069423
United States,38.0,-97.0,274040676.0,331511512.0,2.91,8.55,Cfa,0.08546548748950894
Uruguay,-33.0,-56.0,3275291.0,3429086.0,2.42,17.55,Cfa,0.3521675809915435
Uzbekistan,41.0,64.0,17258430.0,34232050.0,0.83,10.05,BWk,0.164915224610292
Venezuela,8.0,-66.0,25151087.0,28490453.0,0.83,25.35,Aw,0.20071418105280692
Vietnam,16.0,106.0,36088619.0,96648685.0,3.27,24.45,Aw,0.6291520885503722
Zambia,-15.0,30.0,8447250.0,18927715.0,2.3,21.4,Cwa,0.29053257220496725
Zimbabwe,-20.0,30.0,5052214.0,15669666.0,2.94,21.0,BSh,0.29089678681662406
